Distcode,District,2023-2024_Target,2023-2024_Booking,2023-2024_installed,2023-2024_Rejected,2024-2025_Target,2024-2025_Booking,2024-2025_installed,2024-2025_Rejected,2025-2026_Target,2025-2026_Booking,2025-2026_installed,2025-2026_Rejected,total_curr_target,total_curr_Booking,total_curr_installed,total_curr_Rejected
146,Agra,213,200,126,73,370,161,85,0,280,44,0,0,863,405,211,73
143,Aligarh,272,255,182,73,485,287,139,0,356,75,0,0,1113,617,321,73
178,Ambedkar nagar,285,271,153,121,535,381,235,1,430,119,0,0,1250,771,388,122
203,Amethi,287,255,181,74,490,200,120,0,385,60,0,0,1162,515,301,74
137,Amroha,785,774,596,178,1290,462,280,0,1010,34,0,0,3085,1270,876,178
162,Auraiya,84,72,50,23,240,59,29,0,208,36,0,0,532,167,79,23
177,Ayodhya,279,255,195,57,550,233,138,0,350,64,0,0,1179,552,333,57
191,Azamgarh,304,286,213,74,635,428,251,0,412,94,0,0,1351,808,464,74
139,Baghpat,130,109,79,30,250,103,63,0,197,50,0,0,577,262,142,30
180,Bahraich,316,299,232,70,580,284,199,0,396,184,0,0,1292,767,431,70
193,Ballia,301,270,214,55,630,153,112,0,350,40,0,0,1281,463,326,55
182,Balrampur,149,119,90,29,300,113,65,0,242,43,0,0,691,275,155,29
170,Banda,480,471,405,67,1030,303,226,0,747,122,0,0,2257,896,631,67
176,Barabanki,357,339,252,90,760,339,195,0,555,158,0,0,1672,836,447,90
150,Bareilly,758,730,500,234,1220,396,199,1,1011,63,0,0,2989,1189,699,235
185,Basti,464,441,308,133,850,272,175,0,675,72,0,0,1989,785,483,133
198,Bhadohi,125,113,89,24,230,83,46,0,189,19,0,0,544,215,135,24
134,Bijnor,767,730,576,153,1380,435,260,0,1120,83,0,0,3267,1248,836,153
149,Budaun,474,457,275,183,770,293,156,0,614,49,0,0,1858,799,431,183
142,Bulandshahr,447,438,327,112,830,312,201,0,629,52,0,0,1906,802,528,112
196,Chandauli,318,310,234,76,540,176,110,0,455,47,0,0,1313,533,344,76
171,Chitrakoot,297,288,218,73,550,176,126,0,424,87,0,0,1271,551,344,73
190,Deoria,269,233,194,38,700,235,163,1,522,47,0,0,1491,515,357,39
201,Etah,183,170,93,77,365,161,84,0,286,58,0,0,834,389,177,77
161,Etawah,170,155,126,29,355,129,71,0,289,51,0,0,814,335,197,29
159,Farrukhabad,471,441,300,142,710,254,157,0,493,97,0,0,1674,792,457,142
172,Fatehpur,243,231,153,77,400,235,133,0,274,85,0,0,917,551,286,77
147,Firozabad,223,206,118,89,390,145,80,0,315,45,0,0,928,396,198,89
141,Gautam buddha nagar,109,101,85,18,260,70,45,0,215,21,0,0,584,192,130,18
140,Ghaziabad,106,92,72,20,295,66,40,0,253,27,0,0,654,185,112,20
195,Ghazipur,337,307,205,102,485,222,140,0,370,122,0,0,1192,651,345,102
183,Gonda,329,305,231,75,625,471,313,0,402,132,0,0,1356,908,544,75
188,Gorakhpur,248,221,176,44,550,180,113,0,454,97,0,0,1252,498,289,44
168,Hamirpur,347,330,248,81,690,147,88,0,599,53,0,0,1636,530,336,81
204,Hapur,306,288,208,79,590,153,80,0,510,26,0,0,1406,467,288,79
155,Hardoi,744,713,497,207,1350,577,339,0,1021,134,0,0,3115,1424,836,207
144,Hathras,95,78,51,28,225,56,26,0,202,32,0,0,522,166,77,28
165,Jalaun,140,130,90,41,330,120,67,0,263,27,0,0,733,277,157,41
194,Jaunpur,518,486,338,151,830,620,401,0,449,182,0,0,1797,1288,739,151
166,Jhansi,904,869,729,142,1760,588,387,0,1338,243,0,0,4002,1700,1116,142
160,Kannauj,188,174,107,66,420,173,103,0,317,38,0,0,925,385,210,66
163,Kanpur Dehat,124,108,67,39,290,105,49,0,244,32,0,0,658,245,116,39
164,Kanpur Nagar,196,187,149,39,400,126,71,0,344,83,0,0,940,396,220,39
202,Kasganj,241,228,146,82,410,119,67,0,340,27,0,0,991,374,213,82
174,Kaushambi,145,137,76,60,315,69,31,0,284,22,0,0,744,228,107,60
153,Kheri,695,655,483,171,1190,547,286,0,889,48,0,0,2774,1250,769,171
189,Kushi Nagar,213,188,133,54,560,297,175,0,403,42,0,0,1176,527,308,54
167,Lalitpur,1562,1543,1208,339,2510,1763,1140,9,1415,734,0,0,5487,4040,2348,348
157,Lucknow,491,462,375,89,980,516,358,0,639,199,0,0,2110,1177,733,89
187,Maharajganj,316,283,223,60,640,294,203,0,407,68,0,0,1363,645,426,60
169,Mahoba,385,373,321,53,650,304,234,0,483,147,0,0,1518,824,555,53
148,Mainpuri,236,220,164,57,410,165,89,0,321,49,0,0,967,434,253,57
145,Mathura,136,119,77,42,260,100,49,0,216,28,0,0,612,247,126,42
192,Mau,111,101,58,43,255,103,61,0,212,15,0,0,578,219,119,43
138,Meerut,195,184,117,67,400,175,94,0,298,27,0,0,893,386,211,67
199,Mirzapur,940,899,614,287,1090,521,323,0,727,89,0,0,2757,1509,937,287
135,Moradabad,574,545,420,126,1020,256,150,0,870,29,0,0,2464,830,570,126
133,Muzaffarnagar,149,135,101,35,340,116,60,0,280,27,0,0,769,278,161,35
